https://www.kulinarika.net/recepti/seznam/sladice : 11542450|7671479|6117772|4802765|7493684|2243008|2562132|3556254|10453378|3631632|6559852|11466958|5536655|4249571|4219600|8029280|10033088|1808936|17407949|17609508|1914147|1320717|5995583|16153620|5210155|7106987|810219|1305484|6449030|12787000|27674356|12286949|19438949|1680319|7768447|8628124|5328250|16207472|1564973|1867704|13683298|26787642|2702208|3010766|4301419|21976318|9293842|14398767|40876303|1074790|764100|7142142|18253248|3755216|8048531|9065160|864728|855998|1791555|8772829|9820042|2398770|25227310|19861016|13106841|9449266|6194449|18624757|2275401|5159143|3802924|6945416|14417338|3843660|5458038|21287874|9499967|10335376|6008591|2467886|12201767|5162040|5248635|4574022|669829|16317949|4556239|14405540|29420686|10506194|21864996|6226079|4956465|33343685|1293670|32232618|1512931|10805729|8027200|6714036|24123293|10023413|1658281|6719950|40776418|36255201|2967502|2808180|3167464|99003|10702741|4849499|30425552|37000644|7461792|5205523|11539612|3110774|20500383|11232167|10306505|997484|14937951|5965678|23877338|8092031|1859123|19733748|2963242|511918|3124419|7272721|9256324|2188523|4204985|289462|107138|17958554|2774841|2768262|22391135|83970|4907349|6212207|3784911|9509463|33075310|21307018|952884|4921102|2559756|4632027|6848034|918949|5998949|5290155|4540853|19785036|1954060|1073100|27933421|1615944|24745705|9824993|37694032|7006541|10543293|139464|6322120|2087443|12554639|22311111|11012788|9268226|12516570|566601|665945|37376726|5493060|1679280|4497989|25186173|3093559|18160032|1263802|6115918|623935|676448|2899645|45159627|4310242|10712934|719423|310601|268098|1080141|677631|13423020|10659873|10794007|4801272|17890132|18790585|513207|7904097|8343409|16924496|972720|10576322|455833|5566549|4896966|2133038|14276807|10400875|11809241|17275413|26477286|8896490|11437366|13394677|9097464|9040730|362325|8963679|2807104|1178705|1268762|3948734|7867909|3629369|10349420|17241520|2404253|5490402|16277298|5663284|7426909|11929271|6393000|19826213|8330378|478997|2464899|1862648|14963464|656945|2251455|8972958|7147898
https://www.kulinarika.net/recepti/sladice/pecivo/potratna-rolada/22765 : 11542450|5959134|2843765|4314003|7493684|3890794|2562132|8111032|22480230|1616868|2468980|1611071|6771765|5549681|8128528|2371817|1953717|1808936|8425535|15258809|1914147|5680166|1258653|6407331|542296|22563884|9698659|11209020|1491145|17242469|4714335|4738368|4465853|862066|60046|6403786|5328250|19077862|234536|15915215|6108006|10756020|2702208|31328985|6303783|925893|5170553|1395602|11158527|1074790|764100|7142142|586363|7746467|277985|12224080|864728|855998|1791555|8681084|4824104|671110|967795|21330261|12998940|6357765|17861647|9204512|4442883|15644172|4725528|6945416|7873683|10711761|1536500|12441994|2233455|2909217|20113490|15738496|12201767|1810974|5248635|3338764|669829|9496166|4556239|10575219|3891430|1536437|7566786|5970622|3039258|33299457|1293670|9359888|1512931|3666152|1414803|6714036|7465459|10023413|20063137|5093040|6196516|3660027|9653958|2808180|6437706|99003|6903789|101587|6830767|21010816|3031575|707066|5988385|3110774|2892121|26306871|3909452|2209753|2736110|216222|5276349|84238|1859123|2941313|160778|34439752|3124419|3958361|11702030|2188523|4204985|289462|8326921|17958554|2774841|8431625|23807455|11486836|4907349|5782664|3784911|1983194|11881267|2180044|11338|14400938|354394|6473165|24646855|918949|4002325|5674226|4540853|2384851|5661558|20304138|6429780|2991663|28532898|12914031|3662858|3956462|707818|139464|866852|821835|12554639|1242206|3377562|8898805|24739760|3040963|25712965|8040245|10803663|7824379|28711147|5351153|1548430|14857527|1937476|7849008|158332|1953649|853345|26873416|4310242|3661413|719423|4204855|6529331|2431961|677631|1007317|1876568|4812877|19307758|7719749|1158582|513207|7904097|8343409|1006631|2496400|4157535|455833|13326585|395080|11799119|8815495|3978603|24199825|345376|4595820|15175916|4806129|296950|9097464|11393854|362325|981623|917222|939926|7199758|3948734|8406247|3629369|489508|7620564|1867671|33786103|20638177|3609517|7426909|6366853|3640005|84024|8330378|478997|2464899|9883021|2032687|13839864|14668868|1283502|13747674
https://www.kulinarika.net/recepti/sladice/pecivo/rogljicki-s-skuto-/21526 : 11542450|4270325|4162205|8999403|1375593|3890794|2562132|2743433|2868200|13417751|7696332|13017796|5254310|870857|784761|10527477|1953717|1808936|3652575|22992110|1823124|9436437|7577390|307134|3098596|4081463|10255194|835214|1491145|4517124|1623549|1020398|6684771|6071760|18885055|3347784|5328250|480594|1564973|4396454|6194352|10950658|9236134|24051813|5909990|32772873|12263270|3591535|4504853|2318240|764100|22866150|586363|2517569|277985|5907572|9732529|855998|1791555|8772829|8061602|4238441|5781193|1780700|12998940|1803207|18521090|2429427|3454344|16389912|4725528|1907900|9079550|11199711|1536500|1173368|1722720|18281141|23665527|6361880|3795026|4323969|5248635|1778479|669829|1573346|6147380|14405540|6675349|5235657|2982666|8317910|8608686|22916216|1293670|13886857|6885168|9346946|4390356|6714036|40542065|4660298|25624231|6123912|2532581|1712377|5351918|2808180|14881674|12469499|287171|1608546|6830767|9906830|1678355|5205523|1748554|3110774|19468258|16093481|5846323|8717660|2736110|5965678|8155276|832214|1859123|2941313|14178566|2006482|3124419|2855906|6504179|2188523|4141538|289462|8326921|2961404|2774841|571709|23807455|16526830|4907349|6212207|3784911|3102287|8767587|2180044|952884|2263985|354394|5759818|3129931|918949|8922351|4183792|220345|12784171|1954060|2372144|18370730|8806255|29528560|4508060|13321609|10942404|10543293|139464|1091815|896314|5383970|27462252|460370|4953095|1254306|28437187|25712965|20991749|10803663|5401658|12142787|5351153|1548430|3685043|1074124|4179927|15237|7348832|11819131|5083736|4310242|3661413|719423|4204855|198509|20123283|677631|31910736|1011642|10794007|1195578|11068784|3569844|7389256|6828805|8343409|1006631|2943064|10775871|455833|13326585|1948486|14796889|908568|3638908|19328342|4943025|7959452|11277971|4806129|296950|1713250|11393854|362325|8963679|8426960|888347|11912012|3948734|3013632|3629369|6222539|6180453|2404253|3846970|20757942|5663284|7426909|5473192|6793680|13018354|8330378|478997|2464899|4274103|10079002|9285832|9043021|3029204|14027101
https://www.kulinarika.net/recepti/sladice/pecivo/buhteljni-z-vanilijevo-kremo/20701 : 11542450|427267|565453|4209876|4591675|3890794|2562132|8299945|781439|9302029|7696332|13017796|14701663|5549681|691717|10078819|1953717|1808936|21316636|4260639|2514793|2174345|1918018|6407331|4088693|10822973|17020946|835214|1491145|19329115|4714335|16805749|17731417|3125000|175846|1082685|5328250|10869952|1564973|22237633|6194352|6399171|9236134|18762283|16096062|1933503|4905049|5616273|3831358|2318240|764100|6612400|586363|7746467|277985|9449477|9732529|855998|1791555|5371054|27841323|4072368|260826|21330261|685509|10990728|10527626|1131315|2460223|690461|4725528|6945416|11981968|3370176|1536500|1173368|29177928|10208619|11874009|14711072|3714694|4147115|3032580|1612383|669829|16317949|10198037|12644260|6230273|10252657|21864996|21312980|14349663|3385540|1293670|11320378|6885168|12440388|1136107|6714036|2274121|10023413|13589697|2553719|18406106|1465161|5148799|2808180|14881674|3793270|10926189|4857936|6830767|10317750|3031575|5205523|28398|3110774|326508|17995042|5191779|1565585|2736110|5965678|8399478|1337149|1859123|2941313|5104306|20795956|3124419|26577179|1453422|1536028|4204985|289462|3141722|1458054|2774841|571709|4028114|921196|2646215|841670|3112126|1010454|1724783|2180044|952884|8666327|354394|5858558|10094566|918949|797608|5674226|4540853|12784171|5625045|2195623|857029|3841202|13520702|125049|6009475|2593166|10543293|139464|1091815|8166374|10855981|14215677|460370|8898805|8135817|9423177|3253462|4201374|7909445|7824379|943711|5351153|1548430|939512|243360|7166246|623935|2639794|6569781|47881611|3534737|3661413|719423|1674310|3022034|5481362|677631|24518410|10659873|9607795|1195578|4526163|2493336|2607671|2127718|7453953|1006631|2943064|10775871|455833|12430299|2006510|14796889|2980321|10400875|4861803|4943025|14150840|2520593|4806129|296950|9073232|11393854|362325|8963679|5174500|12836046|72216|3948734|12639356|102938|6903572|8709442|2404253|8804699|19788311|5663284|7426909|6608630|3048231|30411916|4863677|474386|2464899|3703245|6168972|8707068|14940406|3838751|14027101
https://www.kulinarika.net/recepti/seznam/sladice?offset=100 : 11542450|7671479|6117772|4802765|14995667|3373703|2562132|17689080|1474030|7023540|6559852|11466958|5536655|4249571|10152556|8029280|10033088|1808936|22567183|1729409|1914147|1320717|7577390|16153620|10053666|5695529|1197934|2749485|6449030|12787000|5398330|1708996|19438949|13934452|20507693|8628124|5328250|2601207|1564973|1867704|13683298|873172|10408404|11921818|4301419|32772873|7231090|11884614|11781310|2318240|764100|8277007|18253248|1505141|8048531|9065160|1600943|855998|1791555|1140611|9820042|2398770|2491641|14896494|16811599|9449266|13934087|8513524|31513758|5159143|3802924|6945416|14417338|3843660|5458038|10401902|9499967|3190506|19255904|2467886|12201767|5162040|5248635|4574022|669829|8484142|4556239|14405540|16095684|1878399|373835|35246138|14349663|19518998|1293670|4818700|92363|7888710|23411149|6714036|1452891|10023413|1658281|4658470|8442386|42256084|9496954|2808180|660006|99003|10926189|4849499|29390786|8291980|5352681|5205523|11539612|3110774|17682089|11232167|10306505|21215127|14937951|5965678|23877338|16320809|1859123|18506666|2963242|39343188|3124419|11604750|11325376|2188523|4204985|289462|107138|15584842|2774841|2768262|12817540|22397265|4907349|2525212|3784911|9733213|30020776|12403545|952884|4921102|2559756|7883302|6848034|918949|5998949|5290155|4540853|19785036|11364650|5388615|27933421|1615944|11491887|28423582|10660972|7006541|10543293|139464|11154336|2087443|12554639|51920501|11012788|19704517|13709063|566601|7914949|10169782|15811370|7824379|2525905|18667492|10851716|5482296|1263802|6115918|623935|676448|2899645|14074145|4310242|5664814|220210|10240855|268098|33745649|677631|13423020|10659873|3759598|2883128|16254647|14061048|513207|7904097|2237065|16924496|972720|6045897|455833|331448|14359116|2133038|14276807|10400875|4536576|32007811|26477286|6228861|18365711|13394677|393961|9040730|362325|8963679|32636733|4945665|1268762|3948734|7867909|3629369|10349420|21612021|2404253|617350|20638177|4007678|7426909|11929271|6393000|19826213|1835107|478997|2464899|10037589|3391868|656945|2251455|12920247|7147898
https://www.kulinarika.net/recepti/seznam/sladice/pecivo : 11542450|7671479|6117772|4802765|3857580|3373703|2562132|47276533|14030214|3631632|6559852|11466958|5536655|4249571|13500074|8029280|10033088|1808936|17407949|872580|1914147|1320717|7577390|16153620|8629816|7106987|1197934|3878576|6449030|12787000|5398330|37110319|19438949|20651132|1682242|8628124|5328250|16207472|1564973|1867704|7729115|26787642|2702208|11921818|4301419|23160476|9293842|14398767|56114709|2318240|764100|8277007|18253248|3755216|8048531|9065160|5031179|524911|1791555|8772829|9820042|12963441|22159789|19861016|13209795|427302|6194449|18624757|2275401|5159143|3802924|6945416|14417338|3843660|5458038|21287874|9499967|10335376|20144151|2467886|12201767|5162040|5248635|4574022|669829|16317949|4556239|2445770|29420686|11704256|7965202|6047050|8780329|32164616|235956|32232618|1512931|10805729|27723147|6714036|17277728|10023413|1658281|6719950|45444854|46821885|9653958|2808180|9793960|99003|5135857|8287953|30425552|14567480|37012510|3471214|11539612|3110774|4337762|11232167|10306505|2647797|5914280|5468560|23877338|16320809|1859123|19733748|2963242|14725232|3124419|4009313|11325376|2188523|4204985|289462|107138|17958554|2774841|2768262|22391135|83970|1860146|6212207|380840|9509463|16618253|23010981|952884|4921102|2559756|7883302|6848034|918949|5998949|5290155|4540853|2806745|1954060|1073100|27933421|1615944|5724311|1066300|11974841|7006541|10543293|139464|6322120|2087443|12554639|4226122|11012788|8417935|10158363|566601|7914949|5095333|40786409|1679280|2525905|25186173|6995234|18160032|1074124|6115918|623935|676448|2899645|45159627|4310242|10712934|719423|5442789|268098|1418251|677631|13423020|10659873|10794007|6424095|6067271|18790585|513207|6834980|8343409|16924496|972720|44211011|455833|13326585|4896966|2133038|1828154|10400875|11809241|32007811|25027253|8896490|12905462|13690023|9097464|2525497|362325|1027662|2807104|4945665|1268762|3948734|7867909|3629369|10349420|21612021|2404253|5490402|16277298|5079556|7426909|11929271|6393000|19826213|8330378|478997|2464899|3850745|14963464|656945|2251455|6158061|7147898
https://www.kulinarika.net/recepti/seznam/sladice?offset=120 : 11542450|7671479|6117772|4802765|23841450|3373703|2562132|47276533|14030214|19999696|6559852|11466958|5536655|2701151|13500074|8029280|10033088|1808936|25443282|17609508|1914147|756873|7577390|15535316|18401682|7106987|33026314|9909199|6449030|12787000|5398330|11345075|19438949|3737721|20507693|8628124|5328250|53141834|528730|1867704|13683298|26143471|2702208|11921818|4301419|24802081|16824813|2154832|26376455|2318240|764100|9831125|10929574|2300263|2763573|110465|3628428|855998|1791555|8772829|9820042|1478646|25227310|17041685|16811599|9449266|30555371|18624757|31513758|5159143|3802924|6945416|14417338|3843660|5458038|21287874|9499967|7340726|18409406|2467886|12201767|5162040|2545170|4574022|669829|9071269|4556239|7665182|16891702|11750965|4668200|13848480|14349663|20391617|1293670|13142176|1512931|8293075|25163542|6714036|9309088|6455217|1658281|6719950|12496791|42256084|9496954|2808180|11881586|99003|5135857|4849499|23130772|31128423|15673343|5205523|11539612|3110774|20500383|11232167|10306505|21215127|8783619|5965678|23877338|16320809|1859123|29981905|2963242|14293054|3124419|1674542|11325376|2188523|4204985|289462|107138|17958554|2774841|2768262|22391135|22397265|3995529|6212207|1745085|9733213|9191803|38480404|952884|2931716|2375777|7883302|6355754|918949|5998949|5290155|4540853|16299583|11364650|5388615|27933421|1615944|23316426|28423582|7573701|7006541|10543293|139464|11154336|2087443|12554639|51920501|11012788|19704517|26302807|566601|7914949|41583877|32007179|7824379|1753994|25186173|10851716|2887582|1263802|6115918|623935|676448|2899645|4444898|3936928|8694419|719423|10240855|268098|4255136|677631|13423020|10659873|10794007|6424095|12111302|18790585|513207|7904097|3071135|16924496|972720|20013621|455833|13326585|14359116|2133038|1650034|921001|11809241|32007811|13900490|8896490|18365711|7791981|7485051|205973|362325|8963679|31698018|4945665|1268762|3948734|7867909|3629369|10349420|21612021|2404253|5490402|20638177|5663284|4564669|2936154|6393000|19826213|8330378|478997|2464899|10037589|14963464|656945|2251455|6158061|4002423
https://www.kulinarika.net/recepti/seznam/sladice?offset=20 : 11542450|7671479|6117772|4802765|3857580|3373703|2562132|9164285|14030214|930176|6559852|11466958|5536655|4249571|13500074|8029280|10033088|343851|25443282|17609508|1914147|1320717|7577390|16153620|18401682|7106987|25045009|9909199|6449030|12787000|15779343|21446320|19438949|12522080|20507693|8628124|5328250|53141834|1564973|1867704|13683298|26143471|2702208|11921818|4301419|24802081|3927481|2594978|32123387|2318240|764100|3481226|1344994|2300263|8048531|9065160|8714843|855998|1791555|3001817|9820042|2398770|5159689|2076217|4669952|6673018|6194449|5766079|7796891|3387249|3802924|6945416|14417338|3843660|5458038|901685|9499967|10335376|20144151|2467886|12201767|5162040|5248635|4574022|669829|16317949|4556239|14405540|10645717|12247493|21864996|6047050|14349663|32164616|1293670|32232618|1512931|32433175|9056174|5853473|17277728|10023413|1658281|6719950|20012789|42256084|9653958|2808180|9793960|99003|10926189|4849499|30425552|14217759|18526830|5205523|2415|3110774|5259237|11232167|10306505|2647797|2732186|5965678|23877338|73905|1859123|25883501|2963242|23236894|3124419|4009313|6174472|2188523|4204985|289462|107138|4577983|2774841|2768262|22391135|16124549|4907349|2525212|3784911|9733213|2505719|23010981|952884|4921102|2559756|7883302|6848034|918949|5383772|5290155|4540853|14149644|11364650|5388615|21796300|1615944|7540465|1066300|801816|7006541|10543293|139464|5273293|2087443|12554639|11754199|11012788|8417935|26302807|566601|665945|10633554|8867241|7824379|4276249|11923692|5792471|12167666|1074124|6115918|623935|676448|2899645|16424975|4310242|5664814|719423|10240855|268098|16352845|677631|13423020|10659873|10794007|6424095|3070880|18790585|513207|7904097|8343409|16924496|944518|44211011|455833|13326585|3803217|2133038|14276807|10400875|11809241|32007811|26477286|8896490|18365711|13394677|9097464|9040730|19019|8963679|14718739|4945665|1268762|3948734|7867909|3629369|10349420|21612021|2404253|1251857|13317285|5663284|1947546|11929271|6393000|19826213|8330378|478997|2464899|10037589|8697640|656945|2251455|6158061|7147898
https://www.kulinarika.net/recepti/seznam/sladice?offset=0 : 11542450|7671479|6117772|4802765|19632373|3373703|2562132|3556254|10453378|3631632|6559852|11466958|5284203|4249571|4219600|8029280|10033088|1808936|17407949|17609508|1914147|1320717|5995583|16153620|5210155|7106987|810219|9909199|6449030|12787000|27674356|12286949|6960262|27919189|7768447|8628124|5328250|16207472|1564973|1867704|13683298|21818296|10408404|3010766|4301419|21976318|9293842|5756291|76220575|2318240|764100|3481226|18253248|3755216|8048531|9065160|5031179|855998|1791555|8772829|9820042|2398770|25227310|19861016|4669952|9449266|6194449|18624757|2275401|5159143|3802924|6945416|14417338|3843660|5458038|21287874|9499967|10335376|20144151|2467886|12201767|5162040|5248635|4574022|669829|16317949|929271|14405540|29420686|10506194|16718797|10942162|4956465|33343685|1293670|32232618|1512931|10805729|8027200|6349352|16792572|10023413|1658281|6719950|40776418|42256084|2967502|2808180|3167464|99003|10702741|4849499|30425552|37000644|1319489|5205523|11539612|3110774|20500383|11232167|10306505|997484|14937951|5965678|23877338|8092031|1859123|19733748|2963242|511918|3124419|7272721|9256324|2188523|4204985|289462|107138|17958554|2774841|2768262|22391135|83970|4907349|6212207|3784911|9509463|33075310|21307018|952884|995335|2559756|4632027|6848034|918949|5998949|5290155|4540853|14149644|1954060|1073100|12008141|1615944|24745705|9824993|801816|7006541|10543293|139464|5273293|2087443|1146849|11754199|11012788|14974938|22833767|566601|665945|37376726|40786409|1679280|4276249|25186173|3093559|18160032|1263802|6115918|623935|676448|2899645|45159627|4310242|9538083|719423|1861835|268098|1080141|677631|13423020|10659873|10794007|4801272|17890132|18790585|513207|7904097|8343409|16924496|972720|44211011|455833|5566549|4896966|2133038|14276807|10400875|11809241|17275413|26477286|8896490|11437366|13394677|9097464|9040730|362325|8963679|2807104|1178705|1268762|3948734|7867909|3629369|10349420|1582127|2404253|5490402|16277298|5663284|7426909|11929271|6393000|19826213|8330378|478997|2464899|3850745|11264484|656945|2251455|8972958|7147898
https://www.kulinarika.net/recepti/seznam/sladice/pecivo?offset=100 : 10951417|3452007|6117772|4802765|13422801|3373703|2562132|18077462|14030214|20464070|6559852|11466958|5536655|4249571|13500074|8029280|10033088|1808936|16963706|17609508|1914147|1320717|7577390|15000499|18401682|7106987|33026314|9909199|6449030|12787000|27674356|16292362|19438949|7821712|1682242|661732|3553557|2601207|1564973|1867704|12018785|8655163|10408404|3005518|4301419|23160476|17607517|14398767|8276493|2318240|764100|360648|18253248|430534|8048531|9065160|25370218|855998|1791555|2684571|9820042|15749937|22058008|19861016|1896810|27318497|13934087|550883|31513758|5159143|3694871|6945416|2402311|3843660|5458038|13778133|9499967|10335376|20144151|2467886|11956432|5162040|5248635|4574022|669829|16317949|4556239|8241786|1535077|5759603|4573372|35246138|2223459|12409086|1293670|8374124|114540|3544747|10235324|5498933|8228846|10023413|1658281|6719950|16022350|26981473|9496954|2808180|11881586|99003|10926189|8287953|30425552|8291980|13196722|5205523|11539612|3110774|4063576|11232167|4982829|21215127|1313308|5965678|23877338|2718213|1859123|25598918|2963242|39343188|3124419|27394026|11325376|2188523|4204985|289462|107138|8967585|2774841|2768262|5644213|22397265|1860146|6212207|3784911|9733213|16618253|45257449|952884|4921102|748629|7883302|4123439|918949|5998949|5290155|4540853|19785036|11364650|5388615|16239844|1615944|23459902|17976465|9911939|4485391|10543293|139464|11154336|2087443|12554639|1528746|11012788|19704517|3265808|566601|5441601|46267136|7174487|7533840|4497989|15108041|10851716|16269475|1263802|6115918|623935|676448|2899645|18503094|4310242|10712934|719423|9383721|268098|40622206|677631|13217779|10659873|10794007|2883128|27468658|18790585|513207|7904097|8343409|16924496|972720|7319619|455833|11975429|14359116|2133038|14276807|972727|11809241|7183275|19943117|7278927|18365711|13690023|9097464|2525497|362325|8963679|21979298|4945665|1268762|3088262|7867909|3629369|10349420|21612021|2404253|2452936|20638177|5663284|7426909|11929271|3482171|19826213|8330378|478997|2464899|980784|14963464|656945|2251455|5954596|7147898
